categoria|pesquisa|titulo|id_produto|link|preco|avaliacoes|data_coleta
Eletrônicos|Samsung Galaxy A|Smartphone Samsung Galaxy A16 Preto, 256GB, 8GB RAM, Câmera de até 50MP, Tela 6.7”, NFC, IP54, Bateria 5000 mAh e Processador Helio G99|55068623|https://www.casasbahia.com.br/smartphone-samsung-galaxy-a16-preto-256gb-8gb-ram-camera-de-ate-50mp-tela-6-7-nfc-ip54-bateria-5000-mah-e-processador-helio-g99/p/55068623|Indisponível|73|2025-10-21 13:58:55
Eletrônicos|Samsung Galaxy A|Celular Samsung Galaxy A06 Tela 6.7” 128GB 4G Processador Octa-Core, Câmera Traseira de 50MP Azul Escuro|55067264|https://www.casasbahia.com.br/celular-samsung-galaxy-a06-tela-6-7-128gb-4g-processador-octa-core-camera-traseira-de-50mp-azul-escuro/p/55067264|Indisponível|1938|2025-10-21 13:58:55
Eletrônicos|Samsung Galaxy A|Celular Samsung Galaxy A56 Tela Super AMOLED 6.7” 128GB 5G 50MP Preto|55068951|https://www.casasbahia.com.br/celular-samsung-galaxy-a56-tela-super-amoled-6-7-128gb-5g-50mp-preto/p/55068951|Indisponível|94|2025-10-21 13:58:55
Eletrônicos|Samsung Galaxy A|Smartphone Samsung Galaxy A16 Preto, 128GB, 4GB RAM, Câmera de até 50MP, Tela 6.7”, NFC, IP54, Bateria 5000 mAh e Processador Helio G99|55068268|https://www.casasbahia.com.br/smartphone-samsung-galaxy-a16-preto-128gb-4gb-ram-camera-de-ate-50mp-tela-6-7-nfc-ip54-bateria-5000-mah-e-processador-helio-g99/p/55068268|Indisponível|212|2025-10-21 13:58:55
Eletrônicos|Samsung Galaxy A|Celular Samsung Galaxy A06 Tela 6.7” 128GB 4G Processador Octa-Core, Câmera Traseira de 50MP e Selfie de 8MP Branco|55067265|https://www.casasbahia.com.br/celular-samsung-galaxy-a06-tela-6-7-128gb-4g-processador-octa-core-camera-traseira-de-50mp-e-selfie-de-8mp-branco/p/55067265|Indisponível|1016|2025-10-21 13:58:55
Eletrônicos|Samsung Galaxy A|Smartphone Samsung Galaxy A16 Cinza, 128GB, 4GB RAM, Câmera de até 50MP, Tela 6.7”, NFC, IP54, Bateria 5000 mAh e Processador Helio G99|55068267|https://www.casasbahia.com.br/smartphone-samsung-galaxy-a16-cinza-128gb-4gb-ram-camera-de-ate-50mp-tela-6-7-nfc-ip54-bateria-5000-mah-e-processador-helio-g99/p/55068267|Indisponível|234|2025-10-21 13:58:55
Eletrônicos|Samsung Galaxy A|Celular Samsung Galaxy A26 5G 256GB, 8GB RAM, Câmera de 50MP, IP67, Tela Super AMOLED 6.7”, NFC - Preto|1571505940|https://www.casasbahia.com.br/celular-samsung-galaxy-a26-5g-256gb-8gb-ram-camera-de-50mp-ip67-tela-super-amoled-67-quot-nfc-preto/p/1571505940|Indisponível|14|2025-10-21 13:58:55
Eletrônicos|Samsung Galaxy A|Smartphone Samsung Galaxy A56 5G Preto 256GB 8GB RAM, Câmera Tripla até 50MP, Tela Super AMOLED 6.7”, IP67, NFC, Vídeo HDR e Recursos AI|55068941|https://www.casasbahia.com.br/smartphone-samsung-galaxy-a56-5g-preto-256gb-8gb-ram-camera-tripla-ate-50mp-tela-super-amoled-6-7-ip67-nfc-video-hdr-e-recursos-ai/p/55068941|Indisponível|89|2025-10-21 13:58:55
Eletrônicos|Fones de Ouvido Sem Fio TWS|Fone De Ouvido Sem Fio I7 Tws Mini Via Bluetooth V 5.0|1560122439|https://www.casasbahia.com.br/fone-de-ouvido-sem-fio-i7-tws-mini-via-bluetooth-v-50/p/1560122439|Indisponível|1|2025-10-21 14:01:07
Eletrônicos|Fones de Ouvido Sem Fio TWS|Fone De Ouvido Sem Fio Tws I7 Mini Via Bluetooth 5.0|1547817554|https://www.casasbahia.com.br/fone-de-ouvido-sem-fio-tws-i7-mini-via-bluetooth-50/p/1547817554|Indisponível|1|2025-10-21 14:01:07
